0,1,2,3,4,5,6,7,8,9
412,4,0,1,0,0,0,4,24,5
6,363,0,0,0,1,1,2,6,71
24,1,355,4,21,8,20,5,11,1
6,0,9,324,20,58,22,6,2,3
7,0,3,11,349,21,11,42,5,1
6,2,6,52,33,306,10,29,5,1
3,0,11,4,0,2,428,2,0,0
4,0,2,3,19,21,1,394,2,4
28,1,2,0,2,2,2,3,404,6
7,51,0,1,0,0,0,2,6,383
