seed,train_silhouette_score,train_davies_bouldin_index,train_distance_ratio,train_samples,test_silhouette_score,test_davies_bouldin_index,test_distance_ratio,test_samples
13,0.33740246295928955,1.20355538787336,2.2915995121002197,1000,0.21629469096660614,1.6548770296596331,1.8189629316329956,1000
37,0.345002681016922,1.172471037979314,2.240269422531128,1000,0.22252671420574188,1.6009167651278808,1.794119119644165,1000
73,0.31602194905281067,1.2528660907108966,2.1161913871765137,1000,0.20126274228096008,1.7458247722085467,1.7239748239517212,1000
