epoch,loss,accuracy
1,1.3694358509541913,0.49141068892045453
2,1.0655722395432266,0.6149347478693182
3,0.9112071282314983,0.6722966974431818
4,0.8077723576094616,0.7115589488636364
5,0.7261488913473758,0.7416215376420454
6,0.6600718518549745,0.7643931995738636
7,0.5920566916889087,0.7882302024147727
8,0.5345373441973194,0.8086159446022727
9,0.4768870827657255,0.8289462002840909
10,0.42244126745076344,0.8496759588068182
11,0.3695920406502079,0.8677090731534091
12,0.31841167995960196,0.8856867009943182
13,0.27608432436615904,0.9008234197443182
14,0.23208925008392808,0.9177135120738636
15,0.19856508969413963,0.9297207919034091
