0,1,2,3,4,5,6,7,8,9
6882,93,512,122,121,84,61,59,764,302
108,5840,47,71,45,84,71,51,297,2386
181,9,6089,528,499,527,852,53,227,35
36,17,316,5759,464,1496,711,80,74,47
42,10,376,695,6255,853,311,276,129,53
24,50,349,1451,776,5618,317,243,111,61
17,5,293,348,114,149,8001,12,46,15
81,28,134,364,921,829,47,6338,115,143
287,93,207,141,113,124,97,61,7585,292
106,657,31,115,78,77,47,47,295,7547
