epoch,loss,accuracy
1,1.3780412758615883,0.48680530894886365
2,1.0570810162885622,0.6144242720170454
3,0.9027219016782262,0.6756480823863636
4,0.8013344125991518,0.7127463600852273
5,0.718255826907063,0.7433416193181818
6,0.6479883784936233,0.7691650390625
7,0.586237723600458,0.7896506569602273
8,0.527545245194977,0.8111572265625
9,0.4693651112981818,0.8317205255681818
10,0.4162319421725856,0.8508966619318182
11,0.36551931043240155,0.8693958629261364
12,0.31328310195187276,0.8876287286931818
13,0.26834061244418,0.9034978693181818
14,0.23856312659865414,0.9144176136363636
15,0.2015164511447603,0.9286665482954546
