,0,1,2,3,4,5,6,7,8,9
0,0.0,8.66698759067655,8.406364784521925,9.655325739008367,9.238252471021116,8.947991234359927,9.637001070660299,8.99902146863516,7.569779030588557,8.541994090861003
1,8.66698759067655,0.0,9.109430155789639,9.663049030779945,9.19096509081524,8.713943313586025,9.723288299163784,8.969831441349578,8.590878100194006,5.739331516608095
2,8.406364784521925,9.109430155789639,0.0,8.414435207171598,7.842317105273493,7.791065657214157,8.0557962958719,8.566924747379428,8.51482001056962,8.801304916368984
3,9.655325739008367,9.663049030779945,8.414435207171598,0.0,7.727247644500423,6.111990392696903,8.90153889784741,8.526506946817959,9.59910654871359,9.523696894917208
4,9.238252471021116,9.19096509081524,7.842317105273493,7.727247644500423,0.0,6.438910741891478,9.1233408489966,6.832609931529451,9.32795386728846,8.896892570622551
5,8.947991234359927,8.713943313586025,7.791065657214157,6.111990392696903,6.438910741891478,0.0,8.616646347031551,7.166870251102118,8.778755428196769,8.548632578058523
6,9.637001070660299,9.723288299163784,8.0557962958719,8.90153889784741,9.1233408489966,8.616646347031551,0.0,9.478881118395865,9.246728370962343,9.422151503792852
7,8.99902146863516,8.969831441349578,8.566924747379428,8.526506946817959,6.832609931529451,7.166870251102118,9.478881118395865,0.0,8.88958545215259,8.574690697430368
8,7.569779030588557,8.590878100194006,8.51482001056962,9.59910654871359,9.32795386728846,8.778755428196769,9.246728370962343,8.88958545215259,0.0,8.01645457054939
9,8.541994090861003,5.739331516608095,8.801304916368984,9.523696894917208,8.896892570622551,8.548632578058523,9.422151503792852,8.574690697430368,8.01645457054939,0.0
