config_id,lr,scheduler,drop_path,weight_decay,val_accuracy,test_accuracy
efficientnet_b3_search_cfg_01,0.0003,none,0.0,0.0001,0.8311111111111111,0.84
efficientnet_b3_search_cfg_02,0.0003,none,0.0,0.0005,0.8351111111111111,0.8382222222222222
efficientnet_b3_search_cfg_03,0.0003,none,0.1,0.0001,0.8406666666666667,0.8468888888888889
efficientnet_b3_search_cfg_04,0.0003,none,0.1,0.0005,0.834,0.8464444444444444
efficientnet_b3_search_cfg_05,0.0003,cosine,0.0,0.0001,0.8464444444444444,0.854
efficientnet_b3_search_cfg_06,0.0003,cosine,0.0,0.0005,0.8491111111111111,0.8606666666666667
efficientnet_b3_search_cfg_07,0.0003,cosine,0.1,0.0001,0.8528888888888889,0.8584444444444445
efficientnet_b3_search_cfg_08,0.0003,cosine,0.1,0.0005,0.8533333333333334,0.858
efficientnet_b3_search_cfg_09,0.001,none,0.0,0.0001,0.7675555555555555,0.7866666666666666
efficientnet_b3_search_cfg_10,0.001,none,0.0,0.0005,0.7828888888888889,0.7908888888888889
efficientnet_b3_search_cfg_11,0.001,none,0.1,0.0001,0.78,0.794
efficientnet_b3_search_cfg_12,0.001,none,0.1,0.0005,0.7795555555555556,0.7984444444444444
efficientnet_b3_search_cfg_13,0.001,cosine,0.0,0.0001,0.8226666666666667,0.83
efficientnet_b3_search_cfg_14,0.001,cosine,0.0,0.0005,0.8282222222222222,0.8284444444444444
efficientnet_b3_search_cfg_15,0.001,cosine,0.1,0.0001,0.8308888888888889,0.8377777777777777
efficientnet_b3_search_cfg_16,0.001,cosine,0.1,0.0005,0.8366666666666667,0.8413333333333334
