accuracy,macro_f1,seed,best_val_accuracy
0.856,0.8554075338957416,13,0.8404444444444444
0.8528888888888889,0.8529075973788569,37,0.8422222222222222
0.8511111111111112,0.8505095942567811,73,0.8406666666666667
