config_id,lr,scheduler,drop_path,weight_decay,val_accuracy,test_accuracy
deit_tiny_search_cfg_01,5e-05,none,0.0,0.05,0.8017777777777778,0.8124444444444444
deit_tiny_search_cfg_02,5e-05,none,0.0,0.1,0.81,0.8133333333333334
deit_tiny_search_cfg_03,5e-05,none,0.1,0.05,0.802,0.822
deit_tiny_search_cfg_04,5e-05,none,0.1,0.1,0.8026666666666666,0.8224444444444444
deit_tiny_search_cfg_05,5e-05,cosine,0.0,0.05,0.8053333333333333,0.816
deit_tiny_search_cfg_06,5e-05,cosine,0.0,0.1,0.806,0.814
deit_tiny_search_cfg_07,5e-05,cosine,0.1,0.05,0.8075555555555556,0.8217777777777778
deit_tiny_search_cfg_08,5e-05,cosine,0.1,0.1,0.8075555555555556,0.8215555555555556
deit_tiny_search_cfg_09,0.0002,none,0.0,0.05,0.7735555555555556,0.7882222222222223
deit_tiny_search_cfg_10,0.0002,none,0.0,0.1,0.7804444444444445,0.7915555555555556
deit_tiny_search_cfg_11,0.0002,none,0.1,0.05,0.7731111111111111,0.7797777777777778
deit_tiny_search_cfg_12,0.0002,none,0.1,0.1,0.7726666666666666,0.7713333333333333
deit_tiny_search_cfg_13,0.0002,cosine,0.0,0.05,0.802,0.8186666666666667
deit_tiny_search_cfg_14,0.0002,cosine,0.0,0.1,0.8075555555555556,0.8182222222222222
deit_tiny_search_cfg_15,0.0002,cosine,0.1,0.05,0.8022222222222222,0.8173333333333334
deit_tiny_search_cfg_16,0.0002,cosine,0.1,0.1,0.8071111111111111,0.8191111111111111
