0,1,2,3,4,5,6,7,8,9
8689,31,40,23,18,6,18,17,139,19
56,8406,5,4,7,13,3,12,56,438
73,8,8338,124,223,64,110,14,44,2
7,9,84,7799,282,679,72,40,24,4
13,11,97,110,8207,178,14,332,32,6
14,16,82,518,427,7705,20,181,28,9
5,0,123,99,58,25,8653,2,34,1
29,20,23,52,240,120,2,8461,34,19
341,77,55,19,23,23,4,14,8386,58
83,1201,10,13,13,13,1,42,96,7528
