config_id,lr,scheduler,drop_path,weight_decay,val_accuracy,test_accuracy
efficientnet_b3_search_cfg_01,0.0003,none,0.0,0.0001,0.8262222222222222,0.8384444444444444
efficientnet_b3_search_cfg_02,0.0003,none,0.0,0.0005,0.8317777777777777,0.8348888888888889
efficientnet_b3_search_cfg_03,0.0003,none,0.1,0.0001,0.8337777777777777,0.8422222222222222
efficientnet_b3_search_cfg_04,0.0003,none,0.1,0.0005,0.8371111111111111,0.8426666666666667
efficientnet_b3_search_cfg_05,0.0003,cosine,0.0,0.0001,0.8468888888888889,0.8548888888888889
efficientnet_b3_search_cfg_06,0.0003,cosine,0.0,0.0005,0.8457777777777777,0.85
efficientnet_b3_search_cfg_07,0.0003,cosine,0.1,0.0001,0.8533333333333334,0.8544444444444445
efficientnet_b3_search_cfg_08,0.0003,cosine,0.1,0.0005,0.8564444444444445,0.8573333333333333
efficientnet_b3_search_cfg_09,0.001,none,0.0,0.0001,0.7746666666666666,0.7731111111111111
efficientnet_b3_search_cfg_10,0.001,none,0.0,0.0005,0.7835555555555556,0.7931111111111111
efficientnet_b3_search_cfg_11,0.001,none,0.1,0.0001,0.7962222222222223,0.7977777777777778
efficientnet_b3_search_cfg_12,0.001,none,0.1,0.0005,0.784,0.7886666666666666
efficientnet_b3_search_cfg_13,0.001,cosine,0.0,0.0001,0.8284444444444444,0.8351111111111111
efficientnet_b3_search_cfg_14,0.001,cosine,0.0,0.0005,0.8315555555555556,0.8413333333333334
efficientnet_b3_search_cfg_15,0.001,cosine,0.1,0.0001,0.8328888888888889,0.8375555555555556
efficientnet_b3_search_cfg_16,0.001,cosine,0.1,0.0005,0.8335555555555556,0.8464444444444444
