,0,1,2,3,4,5,6,7,8,9
0,0.0,25.97914787965361,25.680079078031945,27.327737378342224,26.804225622619494,26.17106702651934,28.230082275645803,26.453834263546437,24.138335269695745,25.036950218097285
1,25.97914787965361,0.0,26.136083060067474,26.662033399856735,25.254654411137835,24.53373582305323,27.608386164090504,25.406076972429712,23.407951600835865,16.83674294822972
2,25.680079078031945,26.136083060067474,0.0,22.586570561360812,23.51015398205852,21.58463755703447,24.931892700085104,24.72494569659914,23.5996572715383,24.78704024405699
3,27.327737378342224,26.662033399856735,22.586570561360812,0.0,24.065194895565433,17.943336874773593,25.448632552251844,25.62569258726063,25.791647355090237,25.51030892342511
4,26.804225622619494,25.254654411137835,23.51015398205852,24.065194895565433,0.0,19.93898320053758,26.927018553248356,22.841860051786288,24.871297265809684,24.317803068736964
5,26.17106702651934,24.53373582305323,21.58463755703447,17.943336874773593,19.93898320053758,0.0,25.312371387391444,23.996070004336083,24.26387148454152,23.839820876589314
6,28.230082275645803,27.608386164090504,24.931892700085104,25.448632552251844,26.927018553248356,25.312371387391444,0.0,27.024660702856533,26.864814868914063,26.28490330439689
7,26.453834263546437,25.406076972429712,24.72494569659914,25.62569258726063,22.841860051786288,23.996070004336083,27.024660702856533,0.0,24.879335121040324,24.04583524909964
8,24.138335269695745,23.407951600835865,23.5996572715383,25.791647355090237,24.871297265809684,24.26387148454152,26.864814868914063,24.879335121040324,0.0,23.67389291820293
9,25.036950218097285,16.83674294822972,24.78704024405699,25.51030892342511,24.317803068736964,23.839820876589314,26.28490330439689,24.04583524909964,23.67389291820293,0.0
