config_id,lr,scheduler,drop_path,weight_decay,val_accuracy,test_accuracy
deit_tiny_search_cfg_01,5e-05,none,0.0,0.05,0.8073333333333333,0.7957777777777778
deit_tiny_search_cfg_02,5e-05,none,0.0,0.1,0.806,0.7982222222222223
deit_tiny_search_cfg_03,5e-05,none,0.1,0.05,0.8053333333333333,0.7975555555555556
deit_tiny_search_cfg_04,5e-05,none,0.1,0.1,0.8062222222222222,0.7973333333333333
deit_tiny_search_cfg_05,5e-05,cosine,0.0,0.05,0.8048888888888889,0.7977777777777778
deit_tiny_search_cfg_06,5e-05,cosine,0.0,0.1,0.8051111111111111,0.8008888888888889
deit_tiny_search_cfg_07,5e-05,cosine,0.1,0.05,0.8153333333333334,0.802
deit_tiny_search_cfg_08,5e-05,cosine,0.1,0.1,0.8144444444444444,0.7977777777777778
deit_tiny_search_cfg_09,0.0002,none,0.0,0.05,0.7735555555555556,0.7588888888888888
deit_tiny_search_cfg_10,0.0002,none,0.0,0.1,0.7755555555555556,0.7622222222222222
deit_tiny_search_cfg_11,0.0002,none,0.1,0.05,0.7742222222222223,0.7737777777777778
deit_tiny_search_cfg_12,0.0002,none,0.1,0.1,0.7682222222222223,0.7586666666666667
deit_tiny_search_cfg_13,0.0002,cosine,0.0,0.05,0.8115555555555556,0.8053333333333333
deit_tiny_search_cfg_14,0.0002,cosine,0.0,0.1,0.8188888888888889,0.8051111111111111
deit_tiny_search_cfg_15,0.0002,cosine,0.1,0.05,0.8175555555555556,0.8031111111111111
deit_tiny_search_cfg_16,0.0002,cosine,0.1,0.1,0.8128888888888889,0.8057777777777778
