0,1,2,3,4,5,6,7,8,9
829,8,3,1,1,2,0,3,49,4
16,773,1,2,1,2,0,2,11,92
29,3,757,24,24,16,29,6,11,1
5,1,13,740,21,76,25,16,2,1
4,0,20,31,749,41,8,44,3,0
5,1,18,143,56,629,10,31,5,2
6,0,10,14,3,2,860,1,4,0
12,4,4,16,68,42,1,746,2,5
54,12,9,3,5,3,6,3,793,12
18,123,3,4,4,4,2,4,12,726
