epoch,loss,accuracy
1,1.3832059724425727,0.4857177734375
2,1.0639991588382558,0.6126154119318182
3,0.9031787372448228,0.6755925958806818
4,0.8007845098830082,0.7140780362215909
5,0.7182371988892555,0.7445845170454546
6,0.6514438664625314,0.7683549360795454
7,0.5865238812667403,0.7913152521306818
8,0.5270534676330333,0.8123335404829546
9,0.47137570317665284,0.8311212713068182
10,0.41415084803222935,0.8510853160511364
11,0.3637694465208121,0.8699951171875
12,0.3159459049347788,0.8876842151988636
13,0.26988362037280406,0.9026766690340909
14,0.2359742564255033,0.9150834517045454
15,0.19424562224991282,0.9308416193181818
