0,1,2,3,4,5,6,7,8,9
8754,31,27,2,6,8,4,4,131,33
29,8418,4,2,3,12,2,4,43,483
44,4,8626,90,61,47,73,20,34,1
16,3,85,8351,81,379,36,25,18,6
11,8,114,137,8240,247,16,189,30,8
11,16,69,479,197,8070,20,96,34,8
5,0,114,52,14,13,8794,0,6,2
13,21,16,35,149,91,1,8630,24,20
159,35,21,8,15,13,2,5,8673,69
54,800,4,7,5,10,1,14,56,8049
