,0,1,2,3,4,5,6,7,8,9
0,0.0,8.84478472076461,8.775482028251249,9.563256303770133,9.079408861317585,9.289320737085541,9.00160770408193,8.881817956999377,7.205165791176638,8.512629023150513
1,8.84478472076461,0.0,9.646661870280083,9.911271701656482,9.705958981314433,9.476364212398792,9.517289883665631,9.339834294667313,8.47133624736016,6.248975212687755
2,8.775482028251249,9.646661870280083,0.0,8.48486515692033,8.038786042726313,8.40458123402098,7.519576453007999,8.779692291805754,8.892051121165073,9.487664163525663
3,9.563256303770133,9.911271701656482,8.48486515692033,0.0,8.382102042457944,7.296968038195663,8.022861317123704,9.156562418379009,9.415259608379595,9.43262891995984
4,9.079408861317585,9.705958981314433,8.038786042726313,8.382102042457944,0.0,7.817170647741233,8.150861901592425,7.579951919191645,9.00989636011347,9.230567852686859
5,9.289320737085541,9.476364212398792,8.40458123402098,7.296968038195663,7.817170647741233,0.0,8.187104191645373,8.077091801954635,8.973842929030909,9.220371975369348
6,9.00160770408193,9.517289883665631,7.519576453007999,8.022861317123704,8.150861901592425,8.187104191645373,0.0,8.827416059425397,8.735588545907792,9.129310897844508
7,8.881817956999377,9.339834294667313,8.779692291805754,9.156562418379009,7.579951919191645,8.077091801954635,8.827416059425397,0.0,8.950835684825655,8.744281914599902
8,7.205165791176638,8.47133624736016,8.892051121165073,9.415259608379595,9.00989636011347,8.973842929030909,8.735588545907792,8.950835684825655,0.0,8.335925076343107
9,8.512629023150513,6.248975212687755,9.487664163525663,9.43262891995984,9.230567852686859,9.220371975369348,9.129310897844508,8.744281914599902,8.335925076343107,0.0
