0,1,2,3,4,5,6,7,8,9
401,4,7,1,1,1,1,3,28,3
10,364,2,0,0,1,0,3,6,64
9,3,366,7,22,10,15,8,9,1
1,1,9,353,17,38,12,11,6,2
9,2,19,17,347,22,4,27,2,1
3,3,18,65,27,302,3,25,2,2
1,0,12,10,2,1,421,1,2,0
7,0,6,7,36,17,0,368,3,6
18,8,3,1,3,2,0,4,401,10
13,64,1,2,0,0,0,2,9,359
