0,1,2,3,4,5,6,7,8,9
418,2,2,0,1,1,0,0,19,7
6,388,0,0,0,0,0,0,7,49
17,1,389,2,9,7,14,3,8,0
5,0,7,332,10,65,17,6,5,3
9,1,7,11,368,22,6,20,5,1
7,2,11,47,17,343,3,16,3,1
3,0,11,3,1,4,423,1,4,0
6,0,4,4,21,17,1,387,6,4
27,3,2,0,1,0,0,1,410,6
8,60,0,1,0,0,0,0,9,372
