0,1,2,3,4,5,6,7,8,9
384,21,10,1,0,2,1,1,25,5
4,389,2,0,1,0,1,1,3,49
26,3,344,12,18,21,14,7,4,1
5,4,10,321,25,59,8,14,3,1
13,4,9,27,326,41,1,28,1,0
4,5,9,44,24,322,5,32,3,2
1,0,17,15,11,8,397,1,0,0
5,6,6,4,26,28,0,367,1,7
29,24,5,0,4,9,1,2,369,7
3,77,1,2,1,1,0,0,11,354
