0,1,2,3,4,5,6,7,8,9
392,5,9,0,1,1,0,3,26,13
7,374,0,0,0,0,0,0,6,63
10,3,374,11,17,7,18,5,5,0
2,1,13,347,18,47,11,8,0,3
7,0,12,22,349,22,6,27,3,2
1,2,9,66,31,314,3,21,1,2
5,0,12,12,1,3,414,1,2,0
7,0,6,6,34,27,0,363,4,3
18,10,1,0,3,0,0,4,405,9
14,61,0,1,2,0,0,1,5,366
